date=05-12-2024, time=08:33:06, id=18, deviceList=111111000000000000000000, readList=010000000000000000000000, code=0425492833
date=05-12-2024, time=08:35:20, id=18, deviceList=111111000000000000000000, readList=001001000000000000000000, code=0316104689
date=05-12-2024, time=08:35:23, id=18, deviceList=111111000000000000000000, readList=110000000000000000000000, code=0316104694
date=05-12-2024, time=08:35:25, id=18, deviceList=111111000000000000000000, readList=, code=
date=05-12-2024, time=08:35:29, id=18, deviceList=111111000000000000000000, readList=001110000000000000000000, code=0316104692
date=05-12-2024, time=08:35:33, id=18, deviceList=111111000000000000000000, readList=011100000000000000000000, code=0316104696
date=05-12-2024, time=08:35:35, id=18, deviceList=111111000000000000000000, readList=010001000000000000000000, code=0316104697
date=05-12-2024, time=08:35:38, id=18, deviceList=111111000000000000000000, readList=100011000000000000000000, code=0316104699
date=05-12-2024, time=08:35:41, id=18, deviceList=111111000000000000000000, readList=011011000000000000000000, code=0316104698
date=05-12-2024, time=08:35:43, id=18, deviceList=111111000000000000000000, readList=001100000000000000000000, code=0316106200
date=05-12-2024, time=08:58:32, id=18, deviceList=111111000000000000000000, readList=010011000000000000000000, code=0425492648
date=05-12-2024, time=09:15:57, id=18, deviceList=111111000000000000000000, readList=110001000000000000000000, code=0425492946
date=05-12-2024, time=09:41:48, id=18, deviceList=111111000000000000000000, readList=000110000000000000000000, code=0425489076
date=05-12-2024, time=09:43:12, id=18, deviceList=111111000000000000000000, readList=000100000000000000000000, code=0425492869
date=05-12-2024, time=09:53:20, id=18, deviceList=111111000000000000000000, readList=111011000000000000000000, code=0425485877
date=05-12-2024, time=10:03:49, id=18, deviceList=111111000000000000000000, readList=, code=
date=05-12-2024, time=10:05:12, id=18, deviceList=111111000000000000000000, readList=010001000000000000000000, code=0316106300
date=05-12-2024, time=10:05:15, id=18, deviceList=111111000000000000000000, readList=001110000000000000000000, code=0316106301
date=05-12-2024, time=10:05:17, id=18, deviceList=111111000000000000000000, readList=000110000000000000000000, code=0316106302
date=05-12-2024, time=10:05:19, id=18, deviceList=111111000000000000000000, readList=001110000000000000000000, code=0316106303
date=05-12-2024, time=10:05:27, id=18, deviceList=111111000000000000000000, readList=001000000000000000000000, code=0316106304
date=05-12-2024, time=10:05:30, id=18, deviceList=111111000000000000000000, readList=110010000000000000000000, code=0316106305
date=05-12-2024, time=10:05:32, id=18, deviceList=111111000000000000000000, readList=110000000000000000000000, code=0425489075
date=05-12-2024, time=10:05:36, id=18, deviceList=111111000000000000000000, readList=001011000000000000000000, code=0425305556
date=05-12-2024, time=10:05:38, id=18, deviceList=111111000000000000000000, readList=011011000000000000000000, code=0425305554
date=05-12-2024, time=10:05:41, id=18, deviceList=111111000000000000000000, readList=000010000000000000000000, code=0425305555
date=05-12-2024, time=10:05:44, id=18, deviceList=111111000000000000000000, readList=, code=
date=05-12-2024, time=10:05:48, id=18, deviceList=111111000000000000000000, readList=010001000000000000000000, code=0425489076
date=05-12-2024, time=10:05:50, id=18, deviceList=111111000000000000000000, readList=, code=
date=05-12-2024, time=10:05:53, id=18, deviceList=111111000000000000000000, readList=001010000000000000000000, code=0425489079
date=05-12-2024, time=10:05:56, id=18, deviceList=111111000000000000000000, readList=100010000000000000000000, code=0425489078
date=05-12-2024, time=10:05:58, id=18, deviceList=111111000000000000000000, readList=010001000000000000000000, code=0316106307
date=05-12-2024, time=10:06:01, id=18, deviceList=111111000000000000000000, readList=110010000000000000000000, code=0425489080
date=05-12-2024, time=10:08:10, id=18, deviceList=111111000000000000000000, readList=, code=
